collection_id,name,level,jurisdiction,homepage,forms_pages,directory_source,verification,notes,missing_from_prior_manifest,registry_scope_note,normalized_source_court,local_documents,local_word_rtf,local_pdfs,discovered_document_urls,acquired_discovered_urls,blocked_urls,failed_urls,reference_only_urls,deferred_reference_urls,not_yet_acquired_urls,coverage_status,logo_status,asset_path,asset_kind,asset_source_page,coverage_limit,asset_background,fallback_text,retained_documents,excluded_documents,prior_observed_acquisition_urls,forms_page_evidence,page_observations,coverage_boundary,homepage_verification,download_policy,restricted_sources,reuse_note,document_links_observed
F:cadc,United States Court of Appeals — District of Columbia Circuit,appellate,Federal,https://www.cadc.uscourts.gov/,"[""https://www.cadc.uscourts.gov/forms-subject"",""https://www.cadc.uscourts.gov/mediation-forms"",""https://www.cadc.uscourts.gov/filing-instructions"",""https://www.cadc.uscourts.gov/pro-bono-information"",""https://www.cadc.uscourts.gov/cja-forms-instructions"",""https://www.cadc.uscourts.gov/general-information-attorneys""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,12 DC Circuit,37,0,37,85,39,1,2,0,0,46,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/fb/fbd38f8d8c53bd9704186cc7b99ba114deb279ff9add0ff9f06e4d1ec5bc1ae5.png,court_seal,https://www.cadc.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CADC,37,0,82,,,,,,,,
F:ca8,United States Court of Appeals — Eighth Circuit,appellate,Federal,https://www.ca8.uscourts.gov/,"[""https://www.ca8.uscourts.gov/forms/"",""https://www.ca8.uscourts.gov/forms/all-forms"",""https://www.ca8.uscourts.gov/cja-information"",""https://www.ca8.uscourts.gov/cmecf-information"",""https://www.ca8.uscourts.gov/nextgen-information"",""https://www.ca8.uscourts.gov/redaction-information"",""https://www.ca8.uscourts.gov/appeal-preparation-information""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,08 Eighth Circuit,11,0,11,46,7,0,7,0,0,39,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/fa/fad9377d53a433b40e29600e3ba8f05462b11532d425a0ba9f1c89f3e29746f8.png,court_seal,https://www.ca8.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA8,11,0,37,,,,,,,,
F:ca11,United States Court of Appeals — Eleventh Circuit,appellate,Federal,https://www.ca11.uscourts.gov/,"[""https://www.ca11.uscourts.gov/mediation-forms"",""https://www.ca11.uscourts.gov/forms-information"",""https://www.ca11.uscourts.gov/media-information"",""https://www.ca11.uscourts.gov/attorney-information"",""https://www.ca11.uscourts.gov/technical-information"",""https://www.ca11.uscourts.gov/attorney-info/eVoucher"",""https://www.ca11.uscourts.gov/pattern-jury-instructions"",""https://www.ca11.uscourts.gov/e-filing-cmecf-information"",""https://www.ca11.uscourts.gov/briefing-filing-instructions"",""https://www.ca11.uscourts.gov/attorney-info/entry-of-appearance"",""https://www.ca11.uscourts.gov/attorney-info/criminal-justice-act""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,11 Eleventh Circuit,46,0,46,116,46,0,6,0,0,70,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/df/dfb80555c0c23331cc61fda272526ab0e31b71a277003416f0606fdf6e3a3515.png,court_seal,https://www.ca11.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA11,46,0,110,,,,,,,,
F:cafc,United States Court of Appeals — Federal Circuit,appellate,Federal,https://www.cafc.uscourts.gov/,"[""https://www.cafc.uscourts.gov/home/case-information/mediation/"",""https://www.cafc.uscourts.gov/home/case-information/case-filings/"",""https://www.cafc.uscourts.gov/home/case-information/fee-schedules/"",""https://www.cafc.uscourts.gov/home/case-information/common-questions/"",""https://www.cafc.uscourts.gov/home/case-information/filing-resources/"",""https://www.cafc.uscourts.gov/home/rules-procedures-forms/court-forms/"",""https://www.cafc.uscourts.gov/home/case-information/case-filings/bills-of-costs/"",""https://www.cafc.uscourts.gov/home/case-information/case-filings/briefs-appendices/"",""https://www.cafc.uscourts.gov/home/the-court/human-resources/employee-forms-resources/"",""https://www.cafc.uscourts.gov/home/case-information/case-filings/entries-of-appearance/"",""https://www.cafc.uscourts.gov/home/case-information/case-filings/confidential-documents/"",""https://www.cafc.uscourts.gov/home/case-information/electronic-filing-information/electronic-filing-registration/""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,13 Federal Circuit,55,0,55,106,61,2,0,0,0,45,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/c7/c76d29532d858ad0e3337e2ed94612a2d58c5eb4f71c6bdc7c03d7bdeaef72dc.png,court_seal,https://www.cafc.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CAFC,55,0,104,,,,,,,,
F:ca5,United States Court of Appeals — Fifth Circuit,appellate,Federal,https://www.ca5.uscourts.gov/,"[""https://www.ca5.uscourts.gov/forms-fees"",""https://www.ca5.uscourts.gov/pro-se-information"",""https://www.ca5.uscourts.gov/oral-argument-information"",""https://www.ca5.uscourts.gov/forms-fees/fees/fee-schedule"",""https://www.ca5.uscourts.gov/forms-fees/forms/attorney-forms"",""https://www.ca5.uscourts.gov/about-the-court/media-information"",""https://www.ca5.uscourts.gov/about-the-court/general-information"",""https://www.ca5.uscourts.gov/forms-fees/forms/court-reporter-forms"",""https://www.ca5.uscourts.gov/guides/brief-guidance-and-sample-briefs"",""https://www.ca5.uscourts.gov/oral-argument-information/attorney-information"",""https://www.ca5.uscourts.gov/oral-argument-information/attending-oral-arguments"",""https://www.ca5.uscourts.gov/guides/brief-guidance-and-sample-briefs/sample-briefs""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,05 Fifth Circuit,12,0,12,36,14,0,1,0,0,22,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/e5/e55b4eb28e04f29358a9db22b1b8b5fe203140f3def1ab1b933463acfad7b378.svg,court_seal,https://www.ca5.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA5,12,0,35,,,,,,,,
F:ca1,United States Court of Appeals — First Circuit,appellate,Federal,https://www.ca1.uscourts.gov/,"[""https://www.ca1.uscourts.gov/cmecf"",""https://www.ca1.uscourts.gov/cja-forms-instructions"",""https://www.ca1.uscourts.gov/obtaining-case-information""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,01 First Circuit,20,0,20,11,3,0,0,0,0,8,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/db/db6e4f21338b6e14df0336dc80a018f04d7ae64dbd4a270ddd9e6dadd10be264.png,court_seal,https://www.ca1.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA1,20,0,11,,,,,,,,
F:ca4,United States Court of Appeals — Fourth Circuit,appellate,Federal,https://www.ca4.uscourts.gov/,"[""https://www.ca4.uscourts.gov/information-for"",""https://www.ca4.uscourts.gov/court-forms-fees"",""https://www.ca4.uscourts.gov/court-forms-fees/fee-schedule"",""https://www.ca4.uscourts.gov/court-forms-fees/pro-se-forms"",""https://www.ca4.uscourts.gov/caseinformationefiling/efiling_cm-ecf"",""https://www.ca4.uscourts.gov/rules-and-procedures/privacy-policies"",""https://www.ca4.uscourts.gov/caseinformationefiling/copies-of-documents"",""https://www.ca4.uscourts.gov/court-forms-fees/forms-listed-alphabetically"",""https://www.ca4.uscourts.gov/caseinformationefiling/efiling_cm-ecf/training"",""https://www.ca4.uscourts.gov/caseinformationefiling/efiling_cm-ecf/submit-new-case"",""https://www.ca4.uscourts.gov/caseinformationefiling/efiling_cm-ecf/reqsteps_ecffiler""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,04 Fourth Circuit,53,0,53,113,68,0,0,0,0,45,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/74/74023a3dc0afb78c9ec81fed69fdb27e435614d1f7629052ce5de60cc296dcb2.png,court_logo,https://www.ca4.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA4,53,0,113,,,,,,,,
F:ca9,United States Court of Appeals — Ninth Circuit,appellate,Federal,https://www.ca9.uscourts.gov/,"[""https://www.ca9.uscourts.gov/filing/forms/form-10-bill-of-costs/"",""https://www.ca9.uscourts.gov/filing/forms/form-19-notice-sealing/"",""https://www.ca9.uscourts.gov/filing/forms/form-20-notice-intent-unseal/"",""https://www.ca9.uscourts.gov/filing/forms/form-14-motion-extension-time/"",""https://www.ca9.uscourts.gov/filing/forms/form-17-statement-related-cases/"",""https://www.ca9.uscourts.gov/filing/forms/form-8-certificate-of-compliance-briefs/"",""https://www.ca9.uscourts.gov/filing/forms/form-4-motion-affidavit-in-forma-pauperis/"",""https://www.ca9.uscourts.gov/filing/forms/form-11-certificate-of-compliance-rehearing/"",""https://www.ca9.uscourts.gov/filing/forms/form-15-certificate-service-electronic-filing/"",""https://www.ca9.uscourts.gov/filing/forms/form-18-certificate-paper-copy-electronic-brief/"",""https://www.ca9.uscourts.gov/filing/forms/form-12-application-leave-second-successive-petition/"",""https://www.ca9.uscourts.gov/filing/forms/form-16-circuit-rule-27-3-certificate-emergency-motion/""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,09 Ninth Circuit,1,0,1,41,1,0,0,0,0,40,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/d8/d8e3a868f4951427c7ec45279316d3f347992b06b50e6821797ed87912ae6378.svg,court_logo,https://www.ca9.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA9,1,0,41,,,,,,,,
F:ca2,United States Court of Appeals — Second Circuit,appellate,Federal,https://www.ca2.uscourts.gov/,"[""https://www.ca2.uscourts.gov/media_information.html"",""https://www.ca2.uscourts.gov/clerk/case_filing/forms/forms_home.html"",""https://www.ca2.uscourts.gov/clerk/case_filing/case_filing_info_nextgen.html"",""https://www.ca2.uscourts.gov/clerk/case_filing/forms/night_depository_form.html""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,02 Second Circuit,41,0,41,65,41,0,0,0,0,24,English documents available; wider coverage unverified,Logo/seal available,05-Court-and-Judge-Assets/images/e8/e8cdb3e1f192d3e8d4872d013a846f3e83bd4ba46779fe7463d9bddd8d05f7a6.png,court_logo,https://www.ca2.uscourts.gov/,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA2,41,0,65,,,,,,,,
F:ca7,United States Court of Appeals — Seventh Circuit,appellate,Federal,https://www.ca7.uscourts.gov/,"[""https://www.ca7.uscourts.gov/pages/LandingPage.php?page=forms"",""https://www.ca7.uscourts.gov/pages/LandingPage.php?page=newemployee"",""https://www.ca7.uscourts.gov/pages/LandingPage.php?page=employment-information"",""https://www.ca7.uscourts.gov/pages/LandingPage.php?page=pattern_jury_instructions""]",https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,Official directory observed through Firecrawl on 2026-09-12; forms pages from prior source manifest unless otherwise recorded.,,False,94 district entries and 94 bankruptcy jurisdictions are tracked separately; shared websites and territorial bankruptcy jurisdiction do not imply 94 separate bankruptcy courts.,07 Seventh Circuit,13,0,13,35,13,13,3,0,0,22,English documents available; wider coverage unverified,Text fallback,,,,Statewide source collections do not establish coverage of every county/division/judge; federal shared-site jurisdiction entries are not counts of distinct courts. Counts cover only retained English documents with supported titles. Source-link counts distinguish URLs associated with a retained file from source links without a local copy; source observations do not establish complete coverage.,light,CA7,13,0,19,,,,,,,,
