id,collection,title,format,path,source_url,sha256,bytes,language,page_count,source_release,source_date,retrieved_at,use,template_eligible
OLRC-09-xml,primary_law,U.S. Code - Title 9 - Arbitration,XML,06-Primary-Law/XML/U.S. Code - Title 9 - Arbitration - PL 119-103.xml,https://uscode.house.gov/download/releasepoints/us/pl/119/103/xml_usc09@119-103.zip,791ffa0aa1aade4dab90ec8715d51a564f80ad556ace7925e35d53e8092a40ed,109532,en,,119-103,2026-09-02,2026-09-13T02:55:05.386783+00:00,reference,False
OLRC-09-pdf,primary_law,U.S. Code - Title 9 - Arbitration,PDF,06-Primary-Law/PDF/U.S. Code - Title 9 - Arbitration - PL 119-103.pdf,https://uscode.house.gov/download/releasepoints/us/pl/119/103/pdf_usc09@119-103.zip,7e6aa66859984dea1cd84055913449095d5b2424e667960fed7309c5fffe224b,35388,en,16,119-103,2026-09-02,2026-09-13T02:55:05.387782+00:00,reference,False
OLRC-28-xml,primary_law,U.S. Code - Title 28 - Judiciary and Judicial Procedure,XML,06-Primary-Law/XML/U.S. Code - Title 28 - Judiciary and Judicial Procedure - PL 119-103.xml,https://uscode.house.gov/download/releasepoints/us/pl/119/103/xml_usc28@119-103.zip,2979df4d86c342646c92f718e99d608520054b7a9c05749a3da369aba8a95601,8633072,en,,119-103,2026-09-02,2026-09-13T02:55:05.387782+00:00,reference,False
OLRC-28-pdf,primary_law,U.S. Code - Title 28 - Judiciary and Judicial Procedure,PDF,06-Primary-Law/PDF/U.S. Code - Title 28 - Judiciary and Judicial Procedure - PL 119-103.pdf,https://uscode.house.gov/download/releasepoints/us/pl/119/103/pdf_usc28@119-103.zip,be9d5aae9c9c76d2b414ba3f471f237fb0b7e0b176a5e6836084bae437717691,3022466,en,1106,119-103,2026-09-02,2026-09-13T02:55:08.738585+00:00,reference,False
OLRC-28a-xml,primary_law,U.S. Code - Title 28 Appendix - Federal Rules of Appellate and Civil Procedure and Evidence,XML,06-Primary-Law/XML/U.S. Code - Title 28 Appendix - Federal Rules of Appellate and Civil Procedure and Evidence - PL 119-103.xml,https://uscode.house.gov/download/releasepoints/us/pl/119/103/xml_usc28a@119-103.zip,f01830768062b3e24567eab0ab523edaaa822bb9b8dbe0aa66f46a29e72c2042,4667098,en,,119-103,2026-09-02,2026-09-13T02:55:09.319288+00:00,reference,False
OLRC-28a-pdf,primary_law,U.S. Code - Title 28 Appendix - Federal Rules of Appellate and Civil Procedure and Evidence,PDF,06-Primary-Law/PDF/U.S. Code - Title 28 Appendix - Federal Rules of Appellate and Civil Procedure and Evidence - PL 119-103.pdf,https://uscode.house.gov/download/releasepoints/us/pl/119/103/pdf_usc28a@119-103.zip,d184c475534266467545a6f1d784cd971d8d99c9ae6ac478eb1ab804a9508070,2342744,en,699,119-103,2026-09-02,2026-09-13T02:55:43.830655+00:00,reference,False
nyc-notice,settlement_reference,Bianculli v City of New York - Senior Care Co-Pay Settlement - Class Notice,PDF,07-Settlement-References/documents/Bianculli v City of New York - Senior Care Co-Pay Settlement - Class Notice.pdf,https://www.seniorcarecopaysettlement.com/wp-content/uploads/2026/08/Bianculli_Notice-of-Class-Action-Lawsuit-and-Proposed-Settlement.pdf,2b4b911b3ac71a30c6807bbe65a2366a88d4d5f3b315f2e903dcf857b3531584,334567,en,12,,,2026-09-13T02:51:24.8109421Z,case_specific_reference,False
generics-order,settlement_reference,Generic Pharmaceuticals Antitrust Litigation - Notice and Claim Administration Order - 2026-06-10,PDF,07-Settlement-References/documents/Generic Pharmaceuticals Antitrust Litigation - Notice and Claim Administration Order - 2026-06-10.pdf,https://www.genericdrugsendpayersettlement.com/assets/2026-06-10%20Order.pdf,dfe8920e8af53acb152c120e2f225424fe089f88c8a0ffdedbeee7674d103a91,176423,en,4,,2026-06-10,2026-09-13T02:51:28.5953648Z,case_specific_reference,False
lighthouse-notice,settlement_reference,Lighthouse Electric Data Incident Settlement - Long Form Notice,PDF,07-Settlement-References/documents/Lighthouse Electric Data Incident Settlement - Long Form Notice.pdf,https://cw.simpluris.com/docs/public/downloads/LGC3/LONG_FORM_NOTICE,87fea2a09fd57336b9de06b3f317211a1de397588fdd6ffac836b8ff5bb3a704,241065,en,9,,,2026-09-13T02:51:34.9751756Z,case_specific_reference,False
lighthouse-claim,settlement_reference,Lighthouse Electric Data Incident Settlement - Blank Claim Form,PDF,07-Settlement-References/documents/Lighthouse Electric Data Incident Settlement - Blank Claim Form.pdf,https://cw.simpluris.com/docs/public/downloads/LGC3/CLAIM_FORM,7f52872dddde34edf3f1aaff031e5ab39300f6d6ad8cef0b2c625bf6dbc76a66,237682,en,5,,,2026-09-13T02:51:37.7059581Z,case_specific_reference,False
