court_id,name,homepage,directory_source,visual_status,primary_asset_id,primary_asset_path,primary_background,primary_kind,compact_asset_path,compact_background,primary_identity_scope,primary_observed_on_single_registry_entry,asset_ids,fallback_text,permission_status,last_retrieved_at,collection_status,collection_errors
F:ca1,United States Court of Appeals — First Circuit,https://www.ca1.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_db6e4f21338b6e14,images/db/db6e4f21338b6e14df0336dc80a018f04d7ae64dbd4a270ddd9e6dadd10be264.png,light,court_seal,images/db/db6e4f21338b6e14df0336dc80a018f04d7ae64dbd4a270ddd9e6dadd10be264.png,light,federal_court_site_mark,True,"[""asset_db6e4f21338b6e14""]",CA1,not_established,2026-09-12T23:43:19.743313+00:00,downloaded,"[""RemoteDisconnected: Remote end closed connection without response""]"
F:ca10,United States Court of Appeals — Tenth Circuit,https://www.ca10.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_f97c301c6c49402d,images/f9/f97c301c6c49402d7c7669b50bda72fe9a2aca6e815f11ee450d453005f70273.png,light,court_logo,images/f9/f97c301c6c49402d7c7669b50bda72fe9a2aca6e815f11ee450d453005f70273.png,light,federal_court_site_mark,True,"[""asset_f97c301c6c49402d""]",CA10,not_established,2026-09-12T23:46:22.252371+00:00,downloaded,"[""RemoteDisconnected: Remote end closed connection without response""]"
F:ca11,United States Court of Appeals — Eleventh Circuit,https://www.ca11.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_dfb80555c0c23331,images/df/dfb80555c0c23331cc61fda272526ab0e31b71a277003416f0606fdf6e3a3515.png,light,court_seal,images/df/dfb80555c0c23331cc61fda272526ab0e31b71a277003416f0606fdf6e3a3515.png,light,federal_court_site_mark,True,"[""asset_dfb80555c0c23331"", ""asset_c4e4a7a6a6f1734b""]",CA11,not_established,2026-09-12T23:43:20.605729+00:00,downloaded,[]
F:ca2,United States Court of Appeals — Second Circuit,https://www.ca2.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_e8cdb3e1f192d3e8,images/e8/e8cdb3e1f192d3e8d4872d013a846f3e83bd4ba46779fe7463d9bddd8d05f7a6.png,light,court_logo,,light,federal_court_site_mark,True,"[""asset_e8cdb3e1f192d3e8""]",CA2,not_established,2026-09-12T23:47:40.689001+00:00,no_downloadable_identity_asset,[]
F:ca3,United States Court of Appeals — Third Circuit,https://www.ca3.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_758c9fd88c17f31f,images/75/758c9fd88c17f31f74ff6397063911097f7d28a79ff5dc58bda653860db8b2eb.png,light,court_seal,images/75/758c9fd88c17f31f74ff6397063911097f7d28a79ff5dc58bda653860db8b2eb.png,light,federal_court_site_mark,True,"[""asset_758c9fd88c17f31f"", ""asset_6091c776fb5c95cf"", ""asset_c96c8cdea312b836""]",CA3,not_established,2026-09-12T23:46:22.443081+00:00,downloaded,[]
F:ca4,United States Court of Appeals — Fourth Circuit,https://www.ca4.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_74023a3dc0afb78c,images/74/74023a3dc0afb78c9ec81fed69fdb27e435614d1f7629052ce5de60cc296dcb2.png,light,court_logo,images/74/74023a3dc0afb78c9ec81fed69fdb27e435614d1f7629052ce5de60cc296dcb2.png,light,federal_court_site_mark,True,"[""asset_74023a3dc0afb78c""]",CA4,not_established,2026-09-12T23:43:19.774859+00:00,downloaded,[]
F:ca5,United States Court of Appeals — Fifth Circuit,https://www.ca5.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_e55b4eb28e04f293,images/e5/e55b4eb28e04f29358a9db22b1b8b5fe203140f3def1ab1b933463acfad7b378.svg,light,court_seal,images/e5/e55b4eb28e04f29358a9db22b1b8b5fe203140f3def1ab1b933463acfad7b378.svg,light,federal_court_site_mark,True,"[""asset_e55b4eb28e04f293"", ""asset_8dc5c0116b8c0a52""]",CA5,not_established,2026-09-12T23:43:20.114373+00:00,downloaded,[]
F:ca6,United States Court of Appeals — Sixth Circuit,https://www.ca6.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_9a40070d3b02d3bd,images/9a/9a40070d3b02d3bdca93d83c5dd02b796686c46cb3b3bd7823d672ddf61784b5.png,light,court_seal,images/9a/9a40070d3b02d3bdca93d83c5dd02b796686c46cb3b3bd7823d672ddf61784b5.png,light,federal_court_site_mark,True,"[""asset_9a40070d3b02d3bd"", ""asset_6091c776fb5c95cf"", ""asset_c96c8cdea312b836""]",CA6,not_established,2026-09-12T23:46:22.402636+00:00,downloaded,[]
F:ca7,United States Court of Appeals — Seventh Circuit,https://www.ca7.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,text_fallback,,,light,,,light,,,[],CA7,not_applicable,2026-09-12T23:43:17.335958+00:00,no_downloadable_identity_asset,"[""PermissionError: robots_checked: https://www.ca7.uscourts.gov/assets/images/seal-brown-trans.svg""]"
F:ca8,United States Court of Appeals — Eighth Circuit,https://www.ca8.uscourts.gov/,https://www.uscourts.gov/about-federal-courts/court-role-and-structure/court-website-links,court_mark,asset_fad9377d53a433b4,images/fa/fad9377d53a433b40e29600e3ba8f05462b11532d425a0ba9f1c89f3e29746f8.png,light,court_seal,images/fa/fad9377d53a433b40e29600e3ba8f05462b11532d425a0ba9f1c89f3e29746f8.png,light,federal_court_site_mark,True,"[""asset_fad9377d53a433b4"", ""asset_c96c8cdea312b836""]",CA8,not_established,2026-09-12T23:43:20.233393+00:00,downloaded,[]
